Title,Location,Salary,Description,Skills,URL
"Software Development Engineer - C++, Linux, RedHat, Embedded","Providence, RI",[],"If you are a Software Development Engineer with experience, please read on!Based in Providence, RI, we are a global software company that works with electric utilities to enhance energy efficiency and grid security.  We have an exciting opening for a Software Development Engineer. You will have a solid background in linux, redhat, embedded, and developing software on commercial products. Prior experience in a high growth startup environment is highly preferred.What You Will Be DoingThe Software Development Engineer plays a key role and is an integral part of the development team in the design and development of our exciting next generation platform that will enable multiple smart grid applications that drive energy efficiency and renewable integration into the electric power grid. The candidate will be working with cutting edge tools and technologies that modernize the electric grid.What You Need for this PositionAt Least 5 Years of experience and knowledge of:- C++- Linux - RedHat- Embedded Software Development- Commercial Products Development- Multithreaded and Object Oriented Design- DNP3 a plus- MySQL - Oracle - or other database- Networking experience with TCP/IP- Data analytics in a large big-data framework- Hadoop clusters is a plus- Bachelor's degree in CSWhat's In It for You- Competitive salary (DOE)- Bonuses - PTO- Medical- Dental- Vision- 401(k)***Please apply today if interested or you can send your resume to me directly (Word format): katy.bruce@cybercoders.comSo, if you are a Software Development Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    C++
                                    
                                
                            
                            
                                
                                    
                                    Linux - RedHat
                                    
                                
                            
                            
                                
                                    
                                    Embedded Software Development
                                    
                                
                            
                            
                                
                                    
                                    Commercial Products Development
                                    
                                
                            
                            
                                
                                    
                                    Multithreaded and Object Oriented Design
                                    
                                
                            
                            
                                
                                    
                                    DNP3 a plus
                                    
                                
                            
                            
                                
                                    
                                    MySQL - Oracle - or other database
                                    
                                
                            
                            
                                
                                    
                                    Networking experience with TCP/IP
                                    
                                
                            
                            
                                
                                    
                                    Data analytics in a large big-data framework
                                    
                                
                            
                            
                                
                                    
                                    Hadoop clusters is a plus",https://www.cybercoders.com/software-development-engineer-c-plus-plus-linux-redhat-embedded-job-373596
Head of IT - Cloud Infrastructure - SaaS/PaaS/HDFS,"Berkeley, CA",[],"Located in beautiful Berkeley, CA, we are a healthcare analytics startup (40 employees) with a large cloud-computing platform working with the top healthcare organizations in the U.S. Some of our clients include: Cigna, Blue Shield, Kaiser, and that's on a national scale!  We have doubled our team in the past year and are looking for multiple members to handle our needs. If you have a passion for healthcare, data science, and big data, join us today.***Recent 70% Hands on work required ***Top Reasons to Work with Us- Growth!- Very Competitive Salary- Great Work/Life BalanceWhat You Will Be Doing•Lead the sourcing and support of our advanced cloud computing infrastructure for a healthcare analytics company. We are a startup with a LOT of data (hundreds of terabytes worth)! •Help grow our small team but be able to be hands on where we need it in regards to developing, deploying, and maintaining our IT Cloud Computing/Services, Big Data, Data warehousing, and Business Intelligence solutions. •Strategy roadmap while working hand in hand with our CTO and Director of Information Security. •Primary interface with other project teams and other IT organizations to define new service offerings in the data science and business intelligence domains.What You Need for this Position***Recent 70% Hands on work required *** •Bachelor's degree in computer science or relevant field; Master degree preferred•3+ years’ experience in leadership management of a technology management discipline or related field, including resource management in a program or department leadership role.•5+ years of progressively responsible work experience in large cloud infrastructure (**technology as a service preferred, not required) that encompasses:- Data warehousing- Data sciences, analytics - Business intelligence and - Big Data Adoption • Working in a governance environment (SOC II/HITrust/Fedramp). Those responsibilities will fall to the compliance team but must be familiar with working around those governance's, and controls.What's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.Interviews are ongoing. Completed applications will move directly to hiring manager interviews. If it is not complete  you will move to an interview with HR first.
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    5+ Years in Large Cloud Infrastructures
                                    
                                
                            
                            
                                
                                    
                                    5+ Years within SaaS/PaaS Companies
                                    
                                
                            
                            
                                
                                    
                                    as a Service Company (SaaS/PaaS/DSaaS)
                                    
                                
                            
                            
                                
                                    
                                    Small Teams w/Hands on work (we are a startup)
                                    
                                
                            
                            
                                
                                    
                                    Hands on IT/IS Engineering (Recent past 4 years)
                                    
                                
                            
                            
                                
                                    
                                    Work around Governance's for *as a Service comp
                                    
                                
                            
                            
                                
                                    
                                    Big Data EcoSystems
                                    
                                
                            
                            
                                
                                    
                                    SaaS/IaaS",https://www.cybercoders.com/head-of-it-cloud-infrastructure-saas-paas-hdfs-job-408066
Solutions Sales Engineer,"Redwood City, CA",[],"If you are a Solutions Sales Engineer with experience in IoT, please read on!Job Title: Solutions Sales Engineer/ Sales Engineer Location:  Redwood City, CAThe company:  We use our services to digitally transform businesses in the areas of Predictive Maintenance, Product/Content Recommendations, and Fraud Predictions. Our platform is revolutionizing the way Enterprises use Data Analytics by providing a fast scalable automated platform . We look for the best and brightest and you could be the next Solutions Sales Engineer we add to our team!!What You Will Be Doing-Partner with sales and partnerships to gain deep understanding of the customer’s needs as determined by industry knowledge, discovery and assessment to establish our products, services and solutions as the best answer to address those needs-Apply expert knowledge of predictive maintenance and machine learning to evangelize and deliver in-depth technical and value oriented product solution demonstrations to customers and prospects at all levels within an organization-Earn the technical respect of both the business and technical customers/prospects as demonstrated by the ability to eliminate technical objections and build rapport among data scientists and engineering teams-Deliver domain centric demos, proof of concepts, and pilots that demonstrate the value of our solutions across a diverse audience-Ability to understand the customer requirements and their data and map that to our solution.-Prioritize the needs of multiple account executives and sales cycles to deliver timely and effective results to customers and prospects-Develop & propagate competitive positioning and strongly differentiated solutionss-Constantly looking for upsell and expansion opportunities within customer accounts-Based in Redwood City, CA, or w/ home office flexibility in other locations across the country-Travel is second nature and is required at least 33% of the time outside of the local area, overnight and some international travel (to support marketing events or customer deliveries) as neededWhat You Need for this PositionRequirements: Bachelors in Computer Science Management information systems, Mechanical Engineering, signal processing, or Equivalent5+yrs. of directly related experience in a technology company and demonstrable success working in a customer-facing role selling to manufacturers-Have successfully led evaluations of predictive maintenance, asset performance, or other analytic solutions to large manufacturers-Have a general understanding of ML approaches and have worked closely with data science teams to deliver predictive analytics solutions to customers.-Thrive in a diversity of hands-on customer and prospect interactions whether they be in-person and on-site visits, webinars, speaking at conferences, calls and white board sessions that demonstrate your ability to understand and translate customer/prospect needs to solutionsHave familiarity with the following or expertise in the following subject area:  *Algorithms, data structures and database systems  *Python, R, Scala or SAS  *Hadoop based platforms such as Hortonworks and Cloudera in cloud environments such as AWS,Azure and Google Cloud  *Data Engineering; i.e. developing for Hadoop ecosystem using Spark  * Industrial IoT, Big Data, Predictive Maintenance, Machine Learning and Data Science Technologies  * Domain experience and expertise in one or multiple of the following fields and industries: Manufacturing, Automotive, Oil & Gas, Power / Energy / Utilities, Travel / Transportation domain a functional understanding of maintenance / asset performanceWhat's In It for You- Competitive Salary- Great Work Environment- Immediate Hire-Be a part of an award-winning cognitive data science platform to build revolutionary data products for Predictions and Recommendations!If you are an experienced Solutions Sales Engineer, please apply today! or simply send your resume to: amanda.wilson@CyberCoders.com
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Sales Engineering
                                    
                                
                            
                            
                                
                                    
                                    IOT
                                    
                                
                            
                            
                                
                                    
                                    Data Engineer- Hadoop/spark/kafka
                                    
                                
                            
                            
                                
                                    
                                    Cloud- Aws/azure
                                    
                                
                            
                            
                                
                                    
                                    Python/R/Scala/SAS",https://www.cybercoders.com/solutions-sales-engineer-job-411191
Sr. Product Manager,"Santa Monica, CA","['160', '200']","Based in Santa Monica we are a well established mobile advertising technology company that is currently building new products. Our award-winning software empowers marketing and advertising teams at multi-location businesses like Starbucks, Cricket Wireless, Jamba Juice, and Pizza Hut to influence customers on mobile phones at every point in their customer journey. We help our enterprise clients harness the power of the most effective mobile ad networks - Facebook, Google, Snapchat, Apple, Yelp, Bing and more – to drive consumers to visit their stores, shops and restaurants.We are looking for a data-driven product manager with a business mindset and strong communication skills, who is excited to become an integral part of a rapidly growing, cutting-edge technology company. If you are a Sr. Product Manager with 5+ years of professional experience building SaaS, Ad Tech or Marketing Tech products, please read on!What You Will Be DoingBuild world-class marketing tools that drive measurable client successDefine and drive product strategy with an emphasis on the use of location data for media and analytics use casesDevelop and execute the roadmap for our media and data insights productsCoordinate cross-functional team activities to develop and deliver data focused digital products and toolsDevelop user stories, product requirements and forecasting modelsWork with third-party partners and product management teams to conceptualize, build, test and integrate technologies into the other existing product platformsGather input from key internal and external stakeholders to develop product and feature requirementsThink outside the box and challenge the status quoJuggle multiple projects and shift gears accordingly based on evolving prioritiesWhat You Need for this PositionBS/BA, ideally in Business, Human-Computer Interaction, or Computer Science3+ years of product management experience focusing on SaaS, Ad Tech or Marketing Tech productsA sense of urgencyHighly analytical with the ability to prioritize and make decisions based on user feedback and dataDemonstrated ability to lead product as a business and not just a collection of features and usage dataStrong communication skills with proven success partnering with cross-functional teams and external clientsExperience in agile development practices with proven ability to process rapidly changing circumstances, make decisions, and generate specifications quicklyA deep desire to be part of a dynamic, growing startupA creative problem solver who isn’t afraid to roll up his/her sleeves and “do the work”Prior experience with Facebook, Google or Twitter (and their APIs), marketing tech, ad tech or data/reporting products is a huge plusWhat's In It for YouCompetitive base salary, annual performance bonus, excellent PTO), stock options, challenging work environment and much much more!So, if you are a Sr. Product Manager with 5+ years of experience working on building SaaS, Ad Tech or Marketing Tech products, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Product Manager
                                    
                                
                            
                            
                                
                                    
                                    ADTECH
                                    
                                
                            
                            
                                
                                    
                                    Marketing Tech
                                    
                                
                            
                            
                                
                                    
                                    API's",https://www.cybercoders.com/sr-product-manager-job-415086
PYTHON Engineer,"San Mateo, CA",[],"If you are a Research Engineer with heavy PYTHON experience, please read on! We are looking for motivated self-starters and extremely fast learners with top notch problem solving and analytic skills. Must have a strong desire to dig deep into petabytes of data and love to play with the innards of complex algorithms, mathematical constructs and code. We use Pandas in our PYTHON environment.What You Will Be DoingThis role will work with the engineering team to research, prototype, design, build, and maintain the next generation prediction, optimization, and analytics technologies.What You Need for this PositionAt Least 3 Years of industry experience and knowledge of:PYTHON development- preferably in a research or big data domain. Experience using Panadas.Experience writing highly scalable, low-latency, distributed systemsExperience in one or more of the following areas: machine learning or statistical modeling, optimization, algorithms, big-dataExcellent communication skills – ability to present and communicate complex ideas in simple termsStrong statistical/math/analytical abilities; Exceptional problem solving skillsA Master’s degree or PhD degree in a closely related field (eg: computer science/engineering, optimization) from a top notch university is strongly preferred although MS degree holders with demonstrably exceptional research abilities may be consideredSolid computing background with a thorough understanding of the fundamentals of computer science, data structures, and algorithms. Significant experience writing code in PYTHON.So, if you are a Research Engineer with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    modeling
                                    
                                
                            
                            
                                
                                    
                                    Python
                                    
                                
                            
                            
                                
                                    
                                    Panda
                                    
                                
                            
                            
                                
                                    
                                    applications",https://www.cybercoders.com/python-engineer-job-422404
Senior JavaScript Developer,"Thousand Oaks, CA","['100', '140']","If you are a Senior JavaScript Developer with strong Single Page Application development experience, please read on!Top Reasons to Work with Us-Excellent base salary depending on experience-15% bonus potential -Equity package-Healthcare benefits-Report directly to the CTO -Excellent opportunity for growth and advancementWhat You Will Be Doing-Utilizing JavaScript and other cutting edge frameworks  to build high performing single page applications-Collaborate closely with the software engineering teams, other internal stakeholders, and the marketing & product teams-Write clean, modular, robust code to implement the desired requirements-Tackle tough design and UX problemsWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- JavaScript- Node.JS-Singles Page Application Development experienceAny Golang, Elastic, or Postgres experience would be a plusWhat's In It for You-Join a rapidly growing big data SaaS company that just secured another large round of funding-Opportunity for upward mobility within the organization-Excellent compensation package, bonus structure, and equity packageSo, if you are a Web Developer with strong JavaScript experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    JavaScript
                                    
                                
                            
                            
                                
                                    
                                    Single Page Applications
                                    
                                
                            
                            
                                
                                    
                                    Node.js",https://www.cybercoders.com/senior-javascript-developer-job-425169
Cloud Engineer - TS/SCI w/FSP or CI,"Fort Meade, MD",[],"Cloud Engineer with active TS/SCI w/FSP or CI and (3) years experience in software development/engineering including requirements analysis, software development, installation, integration, evaluation, enhancement maintenance, testing and problem diagnosis/resolution.What You Need for this Position• 3+ years developing software with high level languages such as Java/ C/ C++Experience with:-- Distributed scalable Big Data Store (NoSQL) such as Hbase/ CloudBase/Accumulo/ Big table/ etc.-- Map Reduce Programming model and technologies such as Hadoop/ Hive/ Pig/ etc.-- Hadoop Distributed File System (HDFS)-- Serialization such as JSON and/or BSON• (4) years developing software for Windows (2000/ 2003/ XP/ Vista)/ UNIX or Linux (Red hat versions 3-5) operating systems• Demonstrated experience in the design and development of at least one Object Oriented System along with integrating and extending FOSS/COTS products• (3) years experience in software integration and software testing to include developing and implementing test plans and test scripts• Technical writing skills and has generated technical documents in support of a software development project• Experience designing and development automated analytic software/ techniques/ and algorithms• Familiar with IC Cloud Data/ data flow and storage solutions• Experience interfacing to the cloud/ Experience with Eclipse IDE/ Maven/ CVS/ Subversion/ and other development tools and environments• Familiar with GAMBIT/GMAE/ PIG/ and Edge Tables• Experience documenting ontologies/ data models/ schemas/ formats/ data element dictionaries/ software application program interfaces and other technical specifications• General experience in UNIX/ XML parsing/ HTML/ and protocols• Knowledge of dataset formats (ASDF/ MDR1/ MDR2/ QFDs/ others)• Experience implementing web services (SOAP and RESTful)• Experience with performance and scalability testingFor your hard work and dedication, earn a generous salary plus comprehensive benefit package.
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Top Secret Clearance with CI or FSP
                                    
                                
                            
                            
                                
                                    
                                    Java C & C++
                                    
                                
                            
                            
                                
                                    
                                    Cloud Engineering
                                    
                                
                            
                            
                                
                                    
                                    Big Data Storage (NoSQL) Hbase/Big Table/CloudBase
                                    
                                
                            
                            
                                
                                    
                                    Hadoop Distributed File System( HDFS)
                                    
                                
                            
                            
                                
                                    
                                    Serialization JSON or BSON
                                    
                                
                            
                            
                                
                                    
                                    Windows (2000, 2003, XP, Vista)
                                    
                                
                            
                            
                                
                                    
                                    UNIX or Linux (RedHat 3-5)
                                    
                                
                            
                            
                                
                                    
                                    software integration and software testing
                                    
                                
                            
                            
                                
                                    
                                    Implementing web services (SOAP and RESTful)",https://www.cybercoders.com/cloud-engineer-ts-sci-w-fsp-or-ci-job-365603
Lead Cloud Infrastructure Engineer- SaaS/PaaS/HDFS,"Berkeley, CA",[],"Located in beautiful Berkeley, CA, we are a healthcare analytics startup (40 employees) with a large cloud-computing platform working with the top healthcare organizations in the U.S. Some of our clients include: Cigna, Blue Shield, Kaiser, and that's on a national scale!  We have doubled our team in the past year and are looking for multiple members to handle our needs. If you have a passion for healthcare, data science, and big data, join us today.******HIGH Growth Opportunity - Manager after 6 months*********Top Reasons to Work with Us- HIGH Growth Opportunity!- Very Competitive Salary- Great Work/Life BalanceWhat You Will Be Doing•Lead the sourcing and support of our advanced cloud computing infrastructure for a healthcare analytics company. We are a startup with a LOT of data (hundreds of terabytes worth)! •Help grow our small team but be able to be hands on where we need it in regards to developing, deploying, and maintaining our IT Cloud Computing/Services, Big Data, Data warehousing, and Business Intelligence solutions. •Strategy roadmap while working hand in hand with our Director of Information Security. •Primary interface with other project teams and other IT organizations to define new service offerings in the data science and business intelligence domains.What You Need for this Position•Bachelor's degree in computer science or relevant field; Master degree preferredRequired technical: oWindows Active Directory setup and managementoEndpoint management for Linux, Windows and Mac via        •AD group policy (GPO)  (35% Windows)      •Mac Server profile management (55% Mac environment)      •DevOps/Infra as Code tools for Linux (10% Linux)      •AV and Malware protectionoAWS setup and administration       •EC2      •VPC      •CloudWatch      •CloudFormationoMessaging, Collaboration, and Productivity Tools       •Office 365      •Office productivity suiteoBasic network setup and administration       •Routing, Switching, Name Resolution      •Firewall      • Wireless management      •VoIP telephony      •structured cablingNice to have: oAWS administration: oRedshiftoMac Open Directory setup and management (note it would be of significant value if the candidate has experience with this)oAzure setup and administrationoTableauoInfrastructure as code tool experience (e.g. Chef, Puppet, Ansible etc.)oSecurity information and event management (SIEM) setup and administrationoIT Security forensics and audit toolCertifications are less relevant if the candidate can demonstrate that they have hands on experience administering / managing the abovementioned technologies.What's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.Interviews are ongoing. Completed applications will move directly to hiring manager interviews. If it is not complete  you will move to an interview with HR first.
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    SaaS/IaaS
                                    
                                
                            
                            
                                
                                    
                                    Mac
                                    
                                
                            
                            
                                
                                    
                                    Active Directory
                                    
                                
                            
                            
                                
                                    
                                    AWS
                                    
                                
                            
                            
                                
                                    
                                    Network",https://www.cybercoders.com/lead-cloud-infrastructure-engineer-saas-paas-hdfs-job-420432
Sr. UI Engineer,"Redwood City, CA","['150', '175']","With a beautiful office located in Redwood City we are a successful revenue generating start up backed by investors such as Norwest Venture Partners, Shasta Ventures and others. Its leaders are seasoned entrepreneurs with a track record of building and growing highly successful companies such as Turn, Success Factors, Jaspersoft, Glassdoor etc. Their current initiative is building a real-time employee engagement platform that enable companies to improve employee satisfaction, build stronger teams and deliver better results.Due to continued company growth we are looking for a Sr UI Engineer to help architect, design and implement visual analytics (dashboards, reporting, charts etc) of our real-time employee engagement SaaS platform, including the application tier and the browser.If you are a Sr UI JavaScript Engineer who is an expert at designing and developing cutting edge web/mobile applications and can code using the latest and greatest in JavaScript frameworks (Node, Angular, React, Backbone etc) then please read on!What You Will Be Doing- This role is an opportunity to be the technical leader working in a small but fast paced environment that is focused on innovating through the design and development of extremely large-scale, web/mobile applications and services.  - Engage in high end discussions and be able to influence decisions on right technology stack choices and approaches.- Write amazing code utilizing JavaScript frameworks (Node.JS, Angular.JS, Backbone.JS,  Knockout.JS etc.)What You Need for this Position- 2+ years of professional experience designing and developing SaaS or Mobile distributed applications.- Expertise working with any of the following JavaScript frameworks - NodeJS, AngularJS, ReactJS, EmberJS etc- Proficiency with JavaScript and asynchronous programming with its quirks and workarounds- Experience building real-time visual analytics (dashboards, reporting, charts etc) is a big +- Solid understanding of HTML5, CSS and cross browser compatibility issues- Strong in Computer Science fundamentalsWhat's In It for YouCompetitive base salary, annual performance bonus, sign on bonus along with full benefits including healthcare, life insurance, PTO and 401K Early stage equity play, Catered lunches and flexible work arrangements etcWork for a successful software development company, helping organizations thrive Next to the Caltrain in downtown Redwood City And much much more!So if you are a Senior UI Engineer / JavaScript expert - please apply today or send your resume (Word.doc) to howard.braithwaite@cybercoders.com for immediate consideration!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Node.js
                                    
                                
                            
                            
                                
                                    
                                    React.JS
                                    
                                
                            
                            
                                
                                    
                                    AngularJS",https://www.cybercoders.com/sr-ui-engineer-job-350543
Senior Technical Product Manager,"San Francisco, CA","['130', '160']","If you are a Senior Technical Product Manager with experience in cloud or big data products , please read on!Job Title: Senior Technical Product Manager Location: San Francisco, CASalary: $130- $155k + equityThe Company: We are an end to end big data analytics application for hadoop. Our application and platform enable business users to discover insights in any data, via our integration platforms. We proved our clients with a subscription based big data solution that can integrate with existing data warehouse or business intelligence solutions. Our customers include some of the biggest names in healthcare, marketing, cyber-security, travel, and gaming. We are looking for a  Senior Technical Product Manager  to join our newest team, our cloud based team.  Do you want to manage hadoop and cloud based products? Then this is the job for you!!What You Will Be Doing-Drive product roadmap for our big data engine on deployment frameworks that include on-premises Hadoop and Cloud platforms.-Own all aspects of product definition including security integration, platform integration and monitoring for on-premises platforms. In addition, drive data source, data warehouse destination integration, billing and provisioning integration for Cloud platforms, including AWS, Azure and Google Cloud.-Gather, validate, translate and prioritize buyer and user needs into a logically sequenced product and feature roadmap by utilizing internal and external sources for market, customer, competitive and product research.-Maintain technical relationships and roadmap dependency with Big Data Hadoop and Cloud technology partners-Write detailed and Agile product requirements documents and ensure clear communication of those requirements to the business, design, usability, and development teams-Be the scrum based Product Owner and partner closely with development team and team lead-Understand and incorporate competitive landscape from the standpoint of strategy and functional capabilities-Monitor and maintain the ongoing customer acceptance and satisfaction of products-Closely collaborate with marketing, sales, services and engineering managers-Serve as the subject matter expert for the products and features and acts as a product evangelist to build internal awareness across the organization-Develop, maintain, and communicate the vision of product-Validate strategy, vision, and plans with senior management, key stakeholders and customers-Duties and projects as assignedWhat You Need for this PositionRequirements:Bachelors degree in Math/Computer Science/Analytics/ Business Intelligence  or equivalent-5-7 years of work experience in a hands-on technical role.-3-4 years of relevant experience in a technical product management role.-Prior work experience in a technical customer-facing or engineering role.\- Experience working on platforms/ platform infrastructure Pluses: - Solid knowledge of ETL, Excel and any other BI / analytic tools-Ability to take a proactive approach to product management, with strong follow-through, resourcefulness, attention to detail and excellent written and verbal communication skills-Hands-on experience as a technical Product Manager on a Big Data engine i.e. Hadoop, Stream processing, Map-reduce, machine learning, noSQL, in-memory processing.-Experience driving a cloud-first or cloud-option enterprise product and good understanding of business models on the cloud.-Experience working in a dynamic startup environmentWhat's In It for You- Great work environment- Immediate hire- Competitive salary- 401k-Equity options- Benefits- Flexible with some work from home options-Catered Lunches- Walking distance from BartSo, if you are a Senior Technical Product Manager with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Product Manager
                                    
                                
                            
                            
                                
                                    
                                    Customer Facing
                                    
                                
                            
                            
                                
                                    
                                    technical product management",https://www.cybercoders.com/senior-technical-product-manager-job-396208
"Java Developer - Java/J2EE, Linux/UNIX, Web Services","San Ramon, CA","['100', '160']","If you are a Java Developer with multi-tier web applications development experience, please read on!Top Reasons to Work with Us- Competitive Compensation ($100K - $160K DOE) with a comprehensive benefits package!- Work for the industry leader in Product Serialization and Traceability!- Work with multiple leading edge technologies including IoT, Streaming Data, Big Data, and SaaS!- Work for a profitable and well-funded startup with a great upside potential!What You Will Be DoingThe software engineer is responsible for designing and writing code. This candidate will significantly contribute to the design, test, development/coding, and/or support of various software modules.- Design software, write code, write unit test cases, test code and review code on a daily-basis.- Develop/write software for the development of our products on a daily-basis- Create/enhance scalable, high performance and fault-tolerant architectures- Design complex and distributed software modules using Java/JEE, Streaming and Big Data technologies- Design and enhance highly scalable, high performance and fault tolerant architectures across all tiers of the software and develop modules based on the architecture- Integrate with IoT devices using a data ingestion pipeline that allows application of configurable real-time rules- Write unit test cases, execute them and record results on a daily-basis- Perform code reviews, provide feedback and oversee code corrections to ensure compliance with the development guidelines on a daily-basis- Stay up-to-date on emerging technologies, especially open source technologies (e.g. Big Data), and how they might relate to our products- Spend substantial time interfacing with the offshore team in India on a daily-basis. Provide critical and timely coordination between different US and India teams including development, QA, product management, professional services, operations and customer support.What You Need for this PositionMust have 3 - 12 Years of experience and knowledge of:- Java/JEE experience- Presentation tier: HTML/HTML 5, CSS 3, AJAX, JavaScript, JSP, JSF, jQuery, Node.js, SPAs (AngularJS, Bootstrap, React, Backbone, etc.) etc.- Middle/business logic tier: Spring MVC, JEE 6+, etc.- Data access tier: Hibernate, JDBC, MyBatis, jOOQ, SQL, etc.- Application servers: JBoss, WebLogic, WebSphere, etc.- RDBMS databases: MySQL, Oracle, SQL Server, DB2, etc.- Software development tools (Eclipse)- Build tools: Maven, Gradle, Ant, etc.- Unit testing: JUnit or other unit test technologies- Scrum tools: JIRA, SpiraTeam, Pivotal Tracker, Trello, Basecamp, Rally, Version One, etc.Preferred:- Streaming Data and Big Data experience: Spark, Flink, Beam, Heron, Storm, Kafka, ZooKeeper, HBase, Couchbase, MongoDB, Cassandra, Redis, Neo4J, InfiniteGraph, AWS, etc.- IoT devices integration experience is a big plusWhat's In It for You- Work for the industry leader and innovative company- Work for a profitable and well-funded startup with a great upside potential- Work with multiple leading edge technologies including IoT, Streaming Data, Big Data and SaaS- Excellent compensation- Opportunity to join the core team at a relatively early stage and influence the company future- Job satisfaction – you will be an important part of the company, and your contributions will have visibility all the way to the top and your contributions will have direct impact on the company’s future- 401K with employer match- Pre-IPO stock optionsSo, if you are a Java Developer with multi-tier web applications development experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Java/J2EE Development
                                    
                                
                            
                            
                                
                                    
                                    Linux/UNIX
                                    
                                
                            
                            
                                
                                    
                                    Multi-tier web applications
                                    
                                
                            
                            
                                
                                    
                                    Web Services/SOA/XSD",https://www.cybercoders.com/java-developer-java-j2ee-linux-unix-web-services-job-397942
